TransactionID,TransactionDate,CustomerID,ProductCategory,Quantity,UnitPrice,PaymentMethod,City,TotalAmount
TXN100000,2024-02-18,CUST2605,Home & Kitchen,7,4768.55,Net Banking,Hyderabad,33379.85
TXN100001,2024-03-18,CUST1850,Beauty,4,4727.33,Net Banking,Ahmedabad,18909.32
TXN100002,2024-03-30,CUST4202,Electronics,5,5483.3,Cash,Chennai,27416.5
TXN100003,2024-11-30,CUST3318,Beauty,7,2978.33,Credit Card,Bengaluru,20848.31
TXN100004,2024-07-27,CUST8490,Clothing,3,3608.37,Debit Card,Mumbai,10825.11
TXN100005,2024-04-09,CUST5939,Electronics,5,2659.86,Net Banking,Ahmedabad,13299.3
TXN100006,2024-04-11,CUST6105,Beauty,5,6471.1,Debit Card,Hyderabad,32355.5
TXN100007,2024-10-18,CUST3995,Home & Kitchen,7,1070.97,Net Banking,Mumbai,7496.79
TXN100008,2024-12-27,CUST2736,Home & Kitchen,2,7704.74,Net Banking,Kolkata,15409.48
TXN100009,2024-01-18,CUST7382,Grocery,3,5089.64,Debit Card,Delhi,15268.92
TXN100010,2024-01-04,CUST2133,Electronics,7,7098.65,Debit Card,Chennai,49690.55
TXN100011,2024-05-12,CUST1533,Grocery,3,3427.06,Cash,Kolkata,10281.18
TXN100012,2024-07-28,CUST4535,Clothing,3,2678.26,Credit Card,Delhi,8034.78
TXN100013,2024-06-25,CUST1376,Grocery,5,7208.78,UPI,Pune,36043.9
TXN100014,2024-07-11,CUST2912,Home & Kitchen,4,818.02,UPI,Chennai,3272.08
TXN100015,2024-04-09,CUST7750,Beauty,3,963.34,UPI,Hyderabad,2890.02
TXN100016,2024-01-28,CUST9349,Beauty,6,2415.79,UPI,Pune,14494.74
TXN100017,2024-09-01,CUST7928,Grocery,5,7679.41,Credit Card,Kolkata,38397.05
TXN100018,2024-12-06,CUST4991,Home & Kitchen,2,5075.56,Credit Card,Kolkata,10151.12
TXN100019,2024-05-15,CUST4957,Grocery,4,4446.92,Credit Card,Bengaluru,17787.68
TXN100020,2024-02-27,CUST6487,Beauty,6,5651.69,Debit Card,Kolkata,33910.14
TXN100021,2024-10-24,CUST9334,Grocery,6,3357.27,Debit Card,Hyderabad,20143.62
TXN100022,2024-01-09,CUST3581,Grocery,2,6071.85,UPI,Kolkata,12143.7
TXN100023,2024-10-03,CUST2495,Electronics,4,3164.05,UPI,Delhi,12656.2
TXN100024,2024-11-14,CUST7877,Electronics,5,6616.11,Credit Card,Pune,33080.55
TXN100025,2024-07-04,CUST1785,Sports,1,2160.34,Debit Card,Hyderabad,2160.34
TXN100026,2024-10-01,CUST8997,Home & Kitchen,4,2242.05,UPI,Mumbai,8968.2
TXN100027,2024-08-04,CUST2765,Grocery,2,4193.39,Net Banking,Hyderabad,8386.78
TXN100028,2024-02-25,CUST3395,Beauty,6,3463.17,Net Banking,Pune,20779.02
TXN100029,2024-07-05,CUST3995,Home & Kitchen,5,5195.48,Net Banking,Mumbai,25977.4
TXN100030,2024-05-17,CUST2442,Sports,4,2933.4,Credit Card,Kolkata,11733.6
TXN100031,2024-12-01,CUST1111,Beauty,1,1867.49,Debit Card,Pune,1867.49
TXN100032,2024-05-10,CUST1720,Beauty,1,3774.37,Cash,Ahmedabad,3774.37
TXN100033,2024-08-10,CUST6596,Electronics,3,4500.82,Credit Card,Bengaluru,13502.46
TXN100034,2024-12-06,CUST3125,Home & Kitchen,3,1166.52,Net Banking,Bengaluru,3499.56
TXN100035,2024-02-01,CUST9673,Clothing,7,4467.05,Credit Card,Ahmedabad,31269.35
TXN100036,2024-05-10,CUST2564,Grocery,2,2574.48,Cash,Ahmedabad,5148.96
TXN100037,2024-09-23,CUST1769,Clothing,4,3157.84,Credit Card,Kolkata,12631.36
TXN100038,2024-06-14,CUST7033,Grocery,4,2256.17,Cash,Hyderabad,9024.68
TXN100039,2024-07-23,CUST2039,Electronics,7,7453.34,UPI,Chennai,52173.38
TXN100040,2024-10-15,CUST7734,Sports,6,5476.19,Credit Card,Chennai,32857.14
TXN100041,2024-04-30,CUST9868,Electronics,6,2121.81,Cash,Mumbai,12730.86
TXN100042,2024-03-31,CUST2382,Beauty,7,5170.9,Debit Card,Kolkata,36196.3
TXN100043,2024-01-14,CUST8893,Beauty,6,6793.12,Cash,Ahmedabad,40758.72
TXN100044,2024-07-28,CUST7406,Grocery,3,3230.99,Cash,Ahmedabad,9692.97
TXN100045,2024-07-12,CUST7534,Sports,4,6644.76,Cash,Kolkata,26579.04
TXN100046,2024-04-30,CUST4781,Beauty,7,1260.69,UPI,Hyderabad,8824.83
TXN100047,2024-04-22,CUST6698,Beauty,4,6587.57,Debit Card,Ahmedabad,26350.28
TXN100048,2024-03-21,CUST9516,Grocery,1,4336.15,Credit Card,Delhi,4336.15
TXN100049,2024-03-27,CUST1309,Sports,3,1807.11,Cash,Ahmedabad,5421.33
TXN100050,2024-07-25,CUST9678,Home & Kitchen,5,3274.92,UPI,Mumbai,16374.6
TXN100051,2024-08-15,CUST4058,Home & Kitchen,3,7904.3,Net Banking,Mumbai,23712.9
